,Model,Neighbours,Distance,Weight,Trustworthiness,Accuracy,Bal. Accuracy,Cohen K,Matt. Corr. Coef
136,ada_rf,30,0.1,0.3,0.976641120621493,0.7903225806451613 +/- 0.033973660028810956,0.7385071718405052 +/- 0.0512240689065566,0.6990924488704692 +/- 0.023527466856839048,0.699858648941773 +/- 0.02360678163193039
137,nn,30,0.1,0.3,0.976641120621493,0.8075268817204301 +/- 0.04134231524472422,0.7563580709414043 +/- 0.05267465415046252,0.6304572166071323 +/- 0.02008156108373893,0.6382330430977966 +/- 0.020002810397993506
138,knn,30,0.1,0.3,0.976641120621493,0.7623655913978494 +/- 0.033572289289989836,0.6690341679925013 +/- 0.054384678627603024,0.5783915829981344 +/- 0.025911056517721888,0.5817900799501111 +/- 0.025468471905401763
139,xg,30,0.1,0.3,0.976641120621493,0.7666666666666667 +/- 0.04492851002196694,0.6962515108348442 +/- 0.053612328226857305,0.6976352241698 +/- 0.02526926041988489,0.6991958515277816 +/- 0.02466603678270235
140,rf,30,0.1,0.4,0.9652931997685931,0.8688172043010752 +/- 0.030726203426215334,0.8335361397861398 +/- 0.043350821325326486,0.7669712551883536 +/- 0.01942033395267176,0.7689206579884005 +/- 0.019433958182066682
141,ada_rf,30,0.1,0.4,0.9652931997685931,0.8691756272401434 +/- 0.028808699032809998,0.8342930217930218 +/- 0.04038588498712335,0.7726681755993441 +/- 0.022394659265230155,0.774816287468176 +/- 0.022398165008630774
142,nn,30,0.1,0.4,0.9652931997685931,0.8573476702508961 +/- 0.035374527694237434,0.8142516819600153 +/- 0.04962122943011602,0.7709594017592095 +/- 0.018032609850057366,0.7761445671268649 +/- 0.017408561078411114
143,knn,30,0.1,0.4,0.9652931997685931,0.8372759856630825 +/- 0.03115572109536178,0.7746156235739569 +/- 0.05504874735144309,0.6814498086188878 +/- 0.022447096003074218,0.6829843479133316 +/- 0.022484813617176472
144,xg,30,0.1,0.4,0.9652931997685931,0.8473118279569892 +/- 0.03162145276474587,0.7999016415683082 +/- 0.05508157809595841,0.756856534963387 +/- 0.018396023193083304,0.7595031041818457 +/- 0.01816687552789091
145,rf,30,0.1,0.5,0.9538191645912818,0.9559139784946237 +/- 0.017713542296700326,0.9366428324761658 +/- 0.03232965875615349,0.919960531884453 +/- 0.013761874262699285,0.9208450419586405 +/- 0.013559971107781326
146,ada_rf,30,0.1,0.5,0.9538191645912818,0.9548387096774194 +/- 0.016073318681369037,0.937306520639854 +/- 0.032472627954904375,0.9254126807475407 +/- 0.013935340342591189,0.9264437891668551 +/- 0.013617023396167636
147,nn,30,0.1,0.5,0.9538191645912818,0.9293906810035842 +/- 0.027908936389551768,0.8940893597143597 +/- 0.05222473743455984,0.8088731353072021 +/- 0.01948140105186397,0.8165713690527324 +/- 0.017945296820052165
148,knn,30,0.1,0.5,0.9538191645912818,0.9229390681003584 +/- 0.02463076020157482,0.8615696803196803 +/- 0.052738000199245474,0.8807704507249916 +/- 0.014031641294842237,0.8811257933523163 +/- 0.013936818534418772
149,xg,30,0.1,0.5,0.9538191645912818,0.9451612903225807 +/- 0.02023500305498083,0.9203475536808869 +/- 0.03867687660993063,0.8732380627854114 +/- 0.01660465091134149,0.8756586298722946 +/- 0.016075745484059576
150,rf,30,0.2,0.1,0.9866141683719978,0.7240143369175628 +/- 0.03916159119606532,0.6616498085248085 +/- 0.055221522219017063,0.5609230228307457 +/- 0.024236433249915923,0.5666024236899179 +/- 0.023610663018039456
151,ada_rf,30,0.2,0.1,0.9866141683719978,0.7193548387096774 +/- 0.04036643271142184,0.6654000320666987 +/- 0.055084567550770555,0.5307784901998172 +/- 0.032921639309283816,0.5346211677649749 +/- 0.032807372625820855
152,nn,30,0.2,0.1,0.9866141683719978,0.7150537634408602 +/- 0.03420756062251308,0.6388677294927295 +/- 0.04692473035074425,0.463472661302792 +/- 0.02612580948166542,0.47479229721894434 +/- 0.025612831236498657
153,knn,30,0.2,0.1,0.9866141683719978,0.6781362007168459 +/- 0.03777275628646754,0.6038035652618986 +/- 0.06326430995838753,0.5032091230568272 +/- 0.021468944581495272,0.5097847405422069 +/- 0.0212345902229471
154,xg,30,0.2,0.1,0.9866141683719978,0.7043010752688172 +/- 0.03889770180256244,0.633869294285961 +/- 0.04926139220253637,0.5575390160666313 +/- 0.024919165499539264,0.5619624748563048 +/- 0.02503404108920933
155,rf,30,0.2,0.2,0.9837761026677176,0.7655913978494624 +/- 0.0383454208563248,0.7045624128957462 +/- 0.052014237009849834,0.6946825040906018 +/- 0.021309277472787155,0.6975470877661795 +/- 0.020904983153654876
156,ada_rf,30,0.2,0.2,0.9837761026677176,0.76415770609319 +/- 0.04110859982177236,0.7014067722401055 +/- 0.04848823984854304,0.6890403537446033 +/- 0.022715400932774528,0.6915675567899978 +/- 0.02247686556870786
157,nn,30,0.2,0.2,0.9837761026677176,0.7555555555555555 +/- 0.043648710830531165,0.696280532738866 +/- 0.05398964908553186,0.6210278823161008 +/- 0.022453261326276536,0.6242946812016402 +/- 0.022196566158174343
158,knn,30,0.2,0.2,0.9837761026677176,0.7103942652329749 +/- 0.047076413446290974,0.6248624061124061 +/- 0.0672700312343232,0.5657071216352774 +/- 0.02505451271468688,0.5700264485011005 +/- 0.02434546126166663
